iter	Passed	Remaining
399	41146	61720
400	41257	61628
401	41365	61533
402	41456	61413
403	41545	61289
404	41630	61160
405	41742	61071
406	41833	60952
407	41924	60831
408	42017	60714
409	42109	60596
410	42204	60483
411	42296	60364
412	42384	60240
413	42478	60127
414	42573	60012
415	42664	59893
416	42752	59771
417	42840	59648
418	42937	59538
419	43025	59416
420	43127	59313
421	43223	59201
422	43322	59095
423	43420	58986
424	43503	58858
425	43600	58748
426	43708	58653
427	43804	58542
428	43898	58428
429	43996	58320
430	44090	58207
431	44188	58100
432	44287	57993
433	44377	57874
434	44474	57765
435	44560	57642
436	44647	57520
437	44743	57410
438	44830	57288
439	44912	57161
440	45014	57059
441	45106	56944
442	45188	56817
443	45289	56713
444	45370	56586
445	45461	56469
446	45547	56348
447	45643	56239
448	45738	56128
449	45829	56013
450	45916	55893
451	46006	55778
452	46090	55654
453	46175	55532
454	46279	55433
455	46373	55323
456	46443	55182
457	46540	55076
458	46641	54973
459	46735	54862
460	46834	54758
461	46930	54651
462	47030	54547
463	47121	54433
464	47220	54328
465	47320	54225
466	47493	54205
467	47624	54137
468	47760	54074
469	47882	53995
470	48018	53932
471	48137	53848
472	48267	53777
473	48369	53676
474	48462	53563
475	48545	53441
476	48646	53337
477	48729	53215
478	48826	53108
479	48916	52992
480	49013	52885
481	49119	52787
482	49212	52676
483	49343	52605
484	49456	52515
485	49575	52431
486	49678	52330
487	49763	52210
488	49869	52112
489	49966	52006
490	50058	51893
491	50152	51783
492	50265	51693
493	50362	51586
494	50457	51476
495	50545	51360
496	50643	51255
497	50733	51140
498	50824	51028
499	50955	50955
500	51061	50857
501	51196	50788
502	51662	51046
503	51937	51113
504	52247	51213
505	52397	51154
506	52549	51098
507	52696	51036
508	52830	50962
509	53015	50936
510	53146	50858
511	53241	50746
512	53336	50633
513	53427	50516
514	53558	50438
515	53714	50383
516	53821	50281
517	53911	50164
518	54013	50058
519	54125	49962
520	54277	49901
521	54362	49779
522	54457	49667
523	54544	49548
524	54630	49427
525	54727	49316
526	54835	49216
527	54933	49107
528	55032	48998
529	55126	48885
530	55217	48770
531	55308	48654
532	55404	48544
533	55491	48424
534	55591	48317
535	55708	48225
536	55803	48113
537	55888	47993
538	55994	47891
539	56090	47780
540	56191	47674
