iter	Logloss
0	0.5798902981
1	0.494170052
2	0.4259949441
3	0.3774311838
4	0.3398577411
5	0.3103827445
6	0.2898919607
7	0.2727667803
8	0.2521829827
9	0.2361810046
10	0.2245238244
11	0.2143913138
12	0.2072540715
13	0.20129162
14	0.1965126967
15	0.1926372594
16	0.1886919482
17	0.1858598808
18	0.1842541065
19	0.182800222
20	0.1811117084
21	0.1799531214
22	0.1789508691
23	0.1778954332
24	0.1765768698
25	0.1761798258
26	0.1755035264
27	0.1749501345
28	0.1739683101
29	0.1727297347
30	0.1718975738
31	0.1711652307
32	0.1704559863
33	0.1697170107
34	0.1693713229
35	0.1689497739
36	0.1688528879
37	0.1682425866
38	0.1679927506
39	0.1676594006
40	0.1670542081
41	0.1670148836
42	0.1667832093
43	0.1664796696
44	0.1661313857
45	0.1657967774
46	0.1656518669
47	0.1654436572
48	0.1654123769
49	0.1649090599
50	0.1647410539
51	0.1647295896
52	0.1642544303
53	0.1640031225
54	0.1637702084
55	0.1637027109
56	0.1636369833
57	0.163584721
58	0.1633992063
59	0.1633523359
60	0.1631400286
61	0.1629141564
62	0.1621318096
63	0.1615629372
64	0.1611747276
65	0.1610127411
66	0.1609979285
67	0.1603574331
68	0.1599550795
69	0.1598509201
70	0.1596590675
71	0.1596108768
72	0.159376794
73	0.1592629289
74	0.1592402682
75	0.1592281232
76	0.1590193343
77	0.1585051167
78	0.1584012992
79	0.1583992912
80	0.1583094936
81	0.1581320564
82	0.1580561769
83	0.1580521196
84	0.1580186293
85	0.1578425724
86	0.1578127705
87	0.1577745201
88	0.15769568
89	0.1575508175
90	0.1575256781
91	0.1574399898
92	0.1573282657
93	0.1573260164
94	0.1573101382
95	0.157248874
96	0.1572079653
97	0.1572071396
98	0.157207069
99	0.1571126942
100	0.1570624485
101	0.1569437055
102	0.1567693009
103	0.1566313483
104	0.1566215263
105	0.1563533456
106	0.1563455188
107	0.1561811787
108	0.1560938125
109	0.1560485778
110	0.1559577111
111	0.1559151566
112	0.1558310114
113	0.1557394078
114	0.1556281294
115	0.1555049081
116	0.1553832371
117	0.1553364099
118	0.1552196562
119	0.1551761797
120	0.1550591648
121	0.1550365992
122	0.1548761702
123	0.1547386798
124	0.1546432123
125	0.1545644963
126	0.1544212867
127	0.1544160452
128	0.1543750922
129	0.1543434171
130	0.1542995258
131	0.1542480625
132	0.1542455226
133	0.1540704458
134	0.1539778529
135	0.1538352288
136	0.1538110456
137	0.1537555912
138	0.1537071123
139	0.1536708532
140	0.1535943075
141	0.1535917312
142	0.15352427
143	0.1534966438
144	0.1534683099
145	0.1533855746
146	0.1532706208
147	0.1532535016
148	0.1531764517
149	0.1531218537
150	0.1531091146
151	0.1530992675
152	0.153003564
153	0.1529682537
154	0.1529630812
155	0.152873559
156	0.1528454049
157	0.1528153755
158	0.1527223598
159	0.1526524688
160	0.1526043967
161	0.1525818243
162	0.1525768674
163	0.1525572542
164	0.1525237181
165	0.1524945215
166	0.1524498692
167	0.1524234993
168	0.1524025203
169	0.1523767542
170	0.1523557799
171	0.1523059923
172	0.1522029454
173	0.1521379117
174	0.1520796802
175	0.1519789023
176	0.1518990997
177	0.151824316
178	0.151779178
179	0.1517527042
180	0.1517419013
181	0.1516754079
182	0.1516431132
183	0.1516272536
184	0.1515449749
185	0.1514726504
186	0.1514657946
187	0.1514279483
188	0.1514047464
189	0.1513636149
190	0.1513404737
191	0.1513021668
192	0.1512962614
193	0.1511813444
194	0.1511294709
195	0.1511246283
196	0.1511002793
197	0.1510474936
198	0.1509795102
199	0.1509460852
200	0.150917664
201	0.150798203
202	0.150775665
203	0.1507135933
204	0.1506673002
205	0.1506541588
206	0.1506004002
207	0.1505859422
208	0.1505517367
209	0.150543223
210	0.1505216395
211	0.1505049249
212	0.1504977751
213	0.1504806574
214	0.1504210028
215	0.1502915088
216	0.1502657468
217	0.1500011415
218	0.149980402
219	0.1499439889
220	0.149927809
221	0.1498695354
222	0.1498643464
223	0.1498609563
224	0.1498146281
225	0.1497430909
226	0.1497373573
227	0.1497265557
228	0.149700785
229	0.1496962952
230	0.1496043719
231	0.1495935967
232	0.1495222656
233	0.1495177116
234	0.149508401
235	0.1493846404
236	0.1493734256
237	0.1493572087
238	0.1493193766
239	0.1493036698
240	0.1492489595
241	0.1491859919
242	0.1491315017
243	0.1491099944
244	0.1489906002
245	0.1489491541
246	0.1489206686
247	0.1488825012
248	0.1488499798
249	0.1486726821
250	0.1486075076
251	0.1485886898
252	0.148584021
253	0.1485643331
254	0.14848496
255	0.148476272
256	0.1484698762
257	0.1484626245
258	0.148457285
259	0.1484265639
260	0.1483980479
261	0.1483809412
262	0.1483542662
263	0.1482461028
264	0.1482452739
265	0.1482160242
266	0.1481711681
267	0.1481295575
268	0.1481286244
269	0.1481230709
270	0.1481136716
271	0.1481024033
272	0.1480055119
273	0.147996995
274	0.1479955784
275	0.1479596819
276	0.1479546393
277	0.1479335503
278	0.1479043036
279	0.1478999968
280	0.1478882729
281	0.1478697786
282	0.1478424772
283	0.1478303833
284	0.1477895346
285	0.1477806704
286	0.1477250777
287	0.1476489446
288	0.1475612918
289	0.1475574391
290	0.1474971338
291	0.1474932481
292	0.1474691884
293	0.1474666666
294	0.147426188
295	0.1474225148
296	0.1474174661
297	0.1474024103
298	0.1473640346
299	0.1473462654
300	0.1473377936
301	0.1473365701
302	0.1473114166
303	0.1472422756
304	0.1472240543
305	0.1472195208
306	0.147196614
307	0.1470211876
308	0.1470052809
309	0.1469818526
310	0.1469658086
311	0.1468725522
312	0.1468397412
313	0.1468194922
314	0.1468184076
315	0.1468155524
316	0.1468141731
317	0.1468119177
318	0.1467590222
319	0.1467471612
320	0.1466855813
321	0.1466821399
322	0.1466077257
323	0.1465437294
324	0.1465420201
325	0.1465379031
326	0.1464739893
327	0.1464653261
328	0.1464554106
329	0.1464501184
330	0.1463662825
331	0.1463507662
332	0.1463384474
333	0.1463354224
334	0.1462960394
335	0.14626715
336	0.1462303307
337	0.1461643829
338	0.1461642995
339	0.1461569152
340	0.1460841296
341	0.1460769309
342	0.1460149769
343	0.1459947649
344	0.1459864437
345	0.1459483387
346	0.1459363206
347	0.1459282132
348	0.1459203076
349	0.1458994443
350	0.1458927046
351	0.1457685632
352	0.1457485096
353	0.1457432381
354	0.1457308217
355	0.1457133955
356	0.1456870377
357	0.1456578571
358	0.145638267
359	0.1456253666
360	0.145625025
361	0.1456240081
362	0.1455974682
363	0.1455974671
364	0.1455917879
365	0.1455733405
366	0.1455478761
367	0.1455295875
368	0.1455275412
369	0.1455207429
370	0.1454713605
371	0.1454626478
372	0.145453012
373	0.1454416874
374	0.1454353954
375	0.1454279667
376	0.1454199656
377	0.1453633053
378	0.1453318734
379	0.145327106
380	0.1453238319
381	0.1452170144
382	0.1452047671
383	0.145162947
384	0.1451610833
385	0.1451384832
386	0.1451353646
387	0.1450999451
388	0.1450875993
389	0.1450806813
390	0.145057798
391	0.1450445017
392	0.1450226831
393	0.1449706506
394	0.1449648421
395	0.1449114484
396	0.1448747934
397	0.1448706368
398	0.1448070728
399	0.1447916718
400	0.1447822658
401	0.1447132905
402	0.1447020539
403	0.1446905008
404	0.1446865071
405	0.1446318776
406	0.1446301136
407	0.1446179186
408	0.1446057471
409	0.14460245
410	0.1446001822
411	0.1445142005
412	0.1444931687
413	0.1444852066
414	0.1444288944
415	0.1443881049
416	0.1443657304
417	0.144364782
418	0.1443578258
419	0.1443507741
420	0.1443464509
421	0.1443414252
422	0.1442877209
423	0.1442715569
424	0.1442638991
425	0.1442513189
426	0.1441994074
427	0.1441051135
428	0.1440897616
429	0.1440846726
430	0.1440733592
431	0.1440675322
432	0.1440629603
433	0.1439878667
434	0.1439079152
435	0.1438841979
436	0.1438795024
437	0.1438531259
438	0.1438484615
439	0.1438417516
440	0.1437573736
441	0.1437518161
442	0.1437431969
443	0.1437420137
444	0.1437319645
445	0.1437247324
446	0.1437186181
447	0.1436427432
448	0.1436237282
449	0.1436130979
450	0.1435978822
451	0.1435550872
452	0.1435470916
453	0.143536047
454	0.1435171761
455	0.1435081905
456	0.1435079592
457	0.1434428302
458	0.143433493
459	0.1434307358
460	0.1434247577
461	0.1433980811
462	0.1433870144
463	0.143374979
464	0.1433714964
465	0.1433685151
466	0.143360404
467	0.1433532505
468	0.1433242171
469	0.1432829541
470	0.143213747
471	0.1432067038
472	0.143200109
473	0.1431977567
474	0.1431627416
475	0.1431606232
476	0.1431566981
477	0.1431186397
478	0.1431161796
479	0.1431130635
480	0.1430870946
481	0.1430437905
482	0.1430227814
483	0.1429622619
484	0.1429548341
485	0.1429244561
486	0.1427796975
487	0.1427691412
488	0.1427662155
489	0.1427642419
490	0.1427280989
491	0.1427168633
492	0.1427088345
493	0.1427059648
494	0.1426759573
495	0.142673889
496	0.1426589224
497	0.1426559239
498	0.1426442803
499	0.1426271301
500	0.1426251736
501	0.1426130576
502	0.1426078144
503	0.1425622098
504	0.1425348338
505	0.1425199909
506	0.1425113231
507	0.1423849127
508	0.1423609668
509	0.1423595788
510	0.1422927809
511	0.1422878609
512	0.1422466
513	0.1422416868
514	0.1422404283
515	0.142223674
516	0.1422193694
517	0.1422170819
518	0.1422136083
519	0.1422117553
520	0.1421897963
521	0.142189305
522	0.1421116672
523	0.1421102186
524	0.1420594042
525	0.1420498309
526	0.1420140313
527	0.1420014668
528	0.1419773482
529	0.1419709616
530	0.1419046429
531	0.1418838455
532	0.1418488034
533	0.1418483555
534	0.1418413213
535	0.1417932697
536	0.1417835097
537	0.141781007
538	0.1417647855
539	0.1417585212
540	0.1417499906
541	0.141727508
542	0.1417256811
543	0.1416885444
544	0.1416740153
545	0.1416709062
546	0.1416618793
547	0.1416537699
548	0.1416515168
549	0.1415879937
550	0.1415753479
551	0.1415739829
552	0.1415114121
553	0.1414853264
554	0.1414661095
555	0.1414554187
556	0.141453327
557	0.141435454
558	0.1414304042
559	0.1414012337
560	0.1413920895
561	0.1413823543
562	0.1413403192
563	0.1412863845
564	0.1412800612
565	0.1412760129
566	0.1412434506
567	0.1412411509
568	0.1412356186
569	0.1412343346
570	0.1411429231
571	0.1411345293
572	0.1411121127
573	0.1410984143
574	0.1410928789
575	0.1410155962
576	0.1410120754
577	0.1409975999
578	0.1409682599
579	0.1409619346
580	0.1409529114
581	0.140937141
582	0.1409169677
583	0.1408631449
584	0.1408622585
585	0.1408571064
586	0.1408287543
587	0.1408137454
588	0.1407669737
589	0.1407595885
590	0.1407023332
591	0.1407001596
592	0.1406468735
593	0.140637195
594	0.1406302543
595	0.1406256898
596	0.1405850298
597	0.1405821369
598	0.140551338
